Year;Id;Waste_Type;Waste treatment plants;Input to waste treatment plants;Wastes generated in the own local unit;Waste delivered from the domestic territory;Waste delivered from abroad
2017;EAV-190702-G;Landfill leachate containing hazardous substances;36;346.4;252.6;93.8;
2017;EAV-190703-U;Landfill leachate (except 190702);22;222.9;158.0;64.9;
2017;EAV-190801-U;Screenings;169;158.6;13.2;145.4;
2017;EAV-190802-U;Waste from desanding;250;136.5;21.2;114.9;0.4
2017;EAV-190805-U;Sludges from treatment of urban waste water;238;7163.7;2870.9;4138.6;154.2
2017;EAV-190806-G;Saturated or spent ion exchange resins;23;0.5;0.1;0.4;
2017;EAV-190808-G;Membrane system waste containing heavy metals;3;4.9;;4.9;
2017;EAV-190809-U;Grease,oil mixture from oil/water sep.(edible oil);33;63.5;0.3;63.2;0.0
2017;EAV-190810-G;Grease,oil mixture from oil/water sep.(ex.190809);9;0.4;;0.4;
2017;EAV-190811-G;Sludges from bio. treat. of industrial waste water;30;400.4;356.9;43.5;
2017;EAV-190812-U;Sludges fr.bio.treat.of ind.waste water(ex.190811);73;243.4;45.5;195.7;2.1
2017;EAV-190813-G;Sludges from other treat.of industrial waste water;112;216.3;103.8;111.0;1.5
2017;EAV-190814-U;Sludges fr.oth.treat.of ind.waste water(ex.190813);165;244.3;115.1;129.3;0.0
2017;EAV-190899-U;Waste water treatment plants: Wastes n.o.s.;21;7.6;0.3;7.3;
2017;EAV-190901-U;Solid waste from primary filtration and screenings;53;11.9;0.8;11.0;
2017;EAV-190902-U;Sludges from water clarification;132;186.5;127.8;58.6;
2017;EAV-190903-U;Sludges from decarbonation;21;31.8;6.0;25.8;
2017;EAV-190904-U;Spent activated carbon;52;11.0;0.9;7.6;2.5
2017;EAV-190905-U;Saturated or spent ion exchange resins;57;2.4;0.0;2.3;
2017;EAV-190906-U;Solutions,sludges fr. regenerat. of ion exchangers;4;11.1;10.9;0.2;
2017;EAV-190999-U;Preparation of water: Wastes n.o.s.;6;0.9;;0.9;
2017;EAV-191001-U;Iron and steel waste;35;118.1;0.1;112.8;5.2
2017;EAV-191002-U;Non-ferrous waste;43;111.8;;70.2;41.6
2017;EAV-191003-G;Fluff-light fraction and dust;16;48.1;24.6;4.5;19.0
2017;EAV-191004-U;Fluff-light fraction and dust (except 191003);34;220.3;0.3;220.0;
2017;EAV-191005-G;Other fractions containing hazardous substances;5;7.0;;3.7;3.4
2017;EAV-191006-U;Other fractions (except 191005);28;305.2;48.7;200.5;56.0
2017;EAV-191101-G;Oil regeneration: Spent filter clays;6;2.9;;2.9;
2017;EAV-191105-G;Oil regen.: Sludges from on-site effluent treat.;8;1.0;0.0;1.0;
2017;EAV-191106-U;Sludges from on-site effluent treatment(ex.191105);5;1.3;;1.3;
2017;EAV-19120100-U;Mech.treatm.of waste: Paper and cardboard;72;50.6;1.5;48.8;0.2
2017;EAV-191202-U;Mech.treatm.of waste: Ferrous metal;196;1298.6;18.5;1203.4;76.8
2017;EAV-191203-U;Mech.treatm.of waste: Non-ferrous metal;129;619.4;1.8;431.6;185.9
2017;EAV-191204-U;Mech.treatm.of waste: Plastic and rubber;318;1259.8;44.3;1073.9;141.6
2017;EAV-19120500-U;Mech.treatm.of waste: Glass undifferentiated;44;271.7;;261.4;10.3
2017;EAV-19120501-U;Mech.treatm.of waste: White glass;3;14.5;14.5;0.0;
2017;EAV-191206-G;Mech.treatm.of waste: Wood cont. hazardous subs.;80;1358.2;155.7;959.5;243.0
2017;EAV-191207-U;Wood (except 191206);254;4792.7;321.9;3942.8;528.0
2017;EAV-191208-U;Mech.treatm.of waste: Textiles;36;82.3;;56.5;25.8
2017;EAV-19120900-U;Mech.treatm.of waste: Minerals (sand, stones);217;2182.7;209.8;1963.4;9.5
2017;EAV-19120902-U;Products for other earthworks;16;308.5;27.3;281.3;
2017;EAV-19120904-U;Products for use in asphalt mixing plants;361;10341.5;;10341.5;
2017;EAV-191210-U;Combustible waste (refuse derived fuel);199;6541.8;35.4;5639.8;866.6
2017;EAV-191211-G;Other wastes (including mixtures of materials);102;1288.0;7.1;1139.9;141.0
2017;EAV-191212-U;Other wastes (incl. mixtures of mat.)(ex. 191211);490;8672.4;282.0;8148.3;242.1
2017;EAV-191301-G;Solid wastes from soil remediation;32;171.3;;157.2;14.1
2017;EAV-191302-U;Solid wastes from soil remediation (except 191301);47;490.7;7.2;483.2;0.3
2017;EAV-191303-G;Sludges from soil remediation;15;64.6;0.0;64.6;
2017;EAV-191305-G;Sludges from groundwater remediation;21;0.9;0.0;0.9;
2017;EAV-191306-U;Sludges from groundwater remediation (ex. 191305);21;2.1;0.0;2.0;
2017;EAV-191307-G;Aqueous liquid wastes,concentrates fr.groundw.rem.;16;0.8;0.0;0.8;
2017;EAV-191308-U;Aqueous liquid wastes,concentrates (except 191307);8;0.7;;0.7;
2017;EAV-200101-U;Paper and cardboard;511;4580.8;33.8;4528.9;18.0
2017;EAV-200102-U;Glass;112;580.7;0.1;532.5;48.2
2017;EAV-200108-U;Biodegradable kitchen and canteen waste;181;1012.4;4.8;998.1;9.5
2017;EAV-200110-U;Clothes;38;124.5;2.2;115.4;6.9
2017;EAV-200111-U;Textiles;89;122.3;0.0;117.6;4.7
2017;EAV-200113-G;Solvents;31;5.9;0.1;4.8;1.0
2017;EAV-200114-G;Acids;35;1.9;0.0;1.0;0.9
2017;EAV-200115-G;Alkalines;35;1.5;0.0;0.8;0.6
2017;EAV-200117-G;Photochemicals;28;0.1;0.0;0.1;
2017;EAV-200119-G;Pesticides;26;1.4;0.0;1.0;0.4
2017;EAV-200121-G;Fluorescent tubes and other mercury-cont. waste;100;11.5;0.6;10.4;0.6
2017;EAV-200123-G;Discarded equipment containing chlorofluorocarbons;83;148.7;2.7;131.8;14.2
2017;EAV-200125-U;Edible oil and fat;40;74.3;;60.9;13.3
2017;EAV-200126-G;Oil and fat (except 200125);21;0.4;0.0;0.3;0.0
2017;EAV-200127-G;Paint, inks, adhesives and resins;46;14.1;0.3;10.6;3.2
2017;EAV-200128-U;Paint, inks, adhesives and resins (except 200127);55;15.6;;15.6;
2017;EAV-200129-G;Detergents containing hazardous substances;22;0.5;0.0;0.3;0.1
2017;EAV-200130-U;Detergents (except 200129);12;0.2;;0.2;
2017;EAV-200131-G;Cytotoxic and cytostatic medicines;4;0.2;;0.0;0.2
2017;EAV-200132-U;Medicines (except 200131);68;6.5;;6.3;0.2
2017;EAV-200133-G;Batteries and accumulators (160601-160603);41;16.1;0.0;15.9;0.1
2017;EAV-200134-U;Batteries and accumulators (except 200133);19;1.7;;1.6;0.0
2017;EAV-200135-G;Discarded electrical equipment (ex. 200121,23);184;398.8;1.3;390.2;7.4
2017;EAV-200136-U;Discarded electrical equipment (ex. 200121,23,35);163;129.2;8.1;119.5;1.6
2017;EAV-200137-G;Wood containing hazardous substances;36;36.1;0.0;36.1;
2017;EAV-200138-U;Wood (except 200137);223;680.4;4.0;676.5;
2017;EAV-200139-U;Plastics;239;124.3;0.0;103.0;21.2
2017;EAV-200140-U;Metals;151;384.6;50.3;325.6;8.7
2017;EAV-20019900-U;Other fractions n.o.s. undifferentiated;7;15.6;0.0;15.6;
2017;EAV-20019901-U;Mixed recyclables without light packaging;15;46.0;6.4;39.5;
2017;EAV-200201-U;Biodegradable waste;1237;5913.5;253.9;5653.6;5.9
2017;EAV-200202-U;Soil and stones;94;232.5;3.6;228.9;
2017;EAV-200203-U;Other non-biodegradable wastes;53;19.2;0.0;19.1;
2017;EAV-20030100-U;Mixed municipal waste undifferentiated;292;7329.6;36.5;6888.1;405.0
2017;EAV-20030101-U;Resid. household waste, similar commercial wastes;97;8471.6;0.8;8464.6;6.2
2017;EAV-20030102-U;Commercial wastes similar to resid.household waste;251;2092.5;17.5;2026.7;48.3
2017;EAV-20030104-U;Waste from the bio-bin;285;4466.7;33.1;4433.0;0.5
2017;EAV-200302-U;Waste from markets;83;87.4;;87.4;
2017;EAV-200303-U;Street-cleaning residues;264;565.8;18.6;542.2;5.0
2017;EAV-200304-U;Septic tank sludge;9;19.2;;19.2;
2017;EAV-200306-U;Waste from sewage cleaning;118;65.2;1.8;63.4;
2017;EAV-200307-U;Bulky waste;522;2610.1;22.8;2585.2;2.1
2017;EAV-200399-U;Municipal wastes n.o.s.;39;75.5;;75.5;
2018;EAV-010101-U;Wastes from mineral metalliferous excavation;3;0.0;;0.0;0.0
2018;EAV-010102-U;Wastes from mineral non-metalliferous excavation;13;26124.5;26124.5;0.0;
2018;EAV-010306-U;Tailings (except 010304, 010305);8;2.3;0.1;2.1;
2018;EAV-010407-G;Wastes from phys.,chem. proc. of non-met. minerals;8;21.3;;20.7;0.6
2018;EAV-010408-U;Waste gravel and crushed rocks (except 010407);23;620.9;612.3;8.7;
2018;EAV-010409-U;Waste sand and clays;19;44.2;21.6;22.5;
2018;EAV-010410-U;Dusty and powdery wastes (except 010407);21;8.6;4.2;4.3;
2018;EAV-010411-U;Wastes from potash, rock salt proc.(except 010407);11;915.7;875.2;40.5;
2018;EAV-010412-U;Tailings fr. washing of minerals(ex.010407,010411);4;75.2;75.1;0.1;
2018;EAV-010413-U;Wastes from stone cutting and sawing (ex. 010407);35;47.4;38.6;8.7;
2018;EAV-010499-U;Proc. of non-metalliferous minerals: Wastes n.o.s.;3;0.0;0.0;0.0;
2018;EAV-010504-U;Freshwater drilling muds and wastes;31;34.7;;34.7;
2018;EAV-010505-G;Oil-containing drilling muds and wastes;11;11.4;;11.4;
2018;EAV-010506-G;Drilling muds, wastes cont. hazardous substances;4;26.2;;26.2;
2018;EAV-010508-U;Chloride-cont. drilling muds (ex.010505,010506);13;36.7;;36.7;
2018;EAV-020101-U;Agriculture etc: Sludges from washing and cleaning;9;1.1;;1.1;
2018;EAV-020102-U;Agriculture etc: Animal-tissue waste;13;54.1;;54.1;
2018;EAV-020103-U;Agriculture etc: Plant-tissue waste;263;587.1;47.4;534.9;4.8
2018;EAV-020104-U;Agriculture etc: Waste plastics (except packaging);65;36.4;0.4;31.8;4.3
2018;EAV-020106-U;Animal faeces, urine and manure, effluent;205;682.4;188.5;482.2;11.7
2018;EAV-020107-U;Wastes from forestry;66;281.8;6.8;275.0;0.1
2018;EAV-020108-G;Agrochemical waste containing hazardous substances;19;1.4;0.0;1.2;0.2
2018;EAV-020109-U;Agrochemical waste (except 020108);5;0.4;0.1;0.3;0.0
2018;EAV-020110-U;Agriculture etc: Waste metal;12;1.1;;1.1;
2018;EAV-020199-U;Agriculture etc: Wastes n.o.s.;8;2.1;;2.1;
2018;EAV-020201-U;Meat etc: Sludges from washing and cleaning;11;22.7;18.8;3.9;
2018;EAV-020202-U;Meat etc: Animal-tissue waste;24;101.2;2.8;97.2;1.1
2018;EAV-020203-U;Meat etc: Materials unsuitable for cons. or proc.;124;559.1;59.2;453.6;46.3
2018;EAV-020204-U;Meat etc: Sludges from on-site effluent treatment;202;892.1;25.2;832.5;34.3
2018;EAV-020299-U;Preparation of meat, fish etc: Wastes n.o.s.;30;66.5;0.0;66.5;
2018;EAV-020301-U;Fruit etc: Sludges from washing, cleaning etc.;37;218.2;184.5;33.7;
2018;EAV-020304-U;Fruit etc: Materials unsuitable for cons. or proc.;242;514.2;82.7;426.5;5.0
2018;EAV-020305-U;Fruit etc: Sludges from on-site effluent treatment;38;44.5;2.5;42.0;
2018;EAV-020399-U;Preparation of fruit,vegetables etc: Wastes n.o.s.;31;89.3;40.2;37.9;11.3
2018;EAV-020499-U;Sugar processing: Wastes n.o.s.;4;110.8;109.4;1.4;
2018;EAV-020501-U;Dairy prod.: Materials unsuitable for cons., proc.;53;67.2;1.4;62.0;3.8
2018;EAV-020502-U;Dairy prod.: Sludges from on-site effluent treatm.;39;91.6;0.0;91.6;
2018;EAV-020599-U;Dairy products industry: Wastes n.o.s.;8;10.0;;10.0;
2018;EAV-020601-U;Baking,confect.: Materials unsuit. for cons.,proc.;80;305.1;1.2;277.2;26.6
2018;EAV-020603-U;Baking,confect.: Sludges from on-site effl.treatm.;9;5.9;;5.9;
2018;EAV-020701-U;Beverages: Wastes from washing of raw materials;7;2.6;;2.6;
2018;EAV-020702-U;Beverages: Wastes from spirits distillation;24;315.7;293.3;22.4;
2018;EAV-020704-U;Beverages: Materials unsuitable for cons. or proc.;60;53.0;0.0;53.0;
2018;EAV-020705-U;Beverages: Sludges from on-site effluent treatment;12;6.0;;6.0;
2018;EAV-020799-U;Production of beverages: Wastes n.o.s.;13;4.6;0.1;4.6;
2018;EAV-030101-U;Wood processing etc: Waste bark and cork;30;422.0;269.9;152.1;
2018;EAV-030104-G;Sawdust, shavings, cuttings, wood, particle board;9;8.5;;0.8;7.7
2018;EAV-030105-U;Sawdust, shavings, cuttings, wood etc. (ex.030104);414;2050.0;1119.1;797.6;133.4
2018;EAV-030199-U;Wood processing etc: Wastes n.o.s.;4;59.1;58.9;0.2;
2018;EAV-030201-G;Non-halogenated organic wood preservatives;5;0.1;0.0;0.1;0.0
2018;EAV-030202-G;Organochlorinated wood preservatives;3;0.0;;0.0;
2018;EAV-030205-G;Other wood preservatives cont. hazardous subst.;4;0.0;0.0;0.0;
2018;EAV-030301-U;Pulp, paper cardboard prod.: Waste bark and wood;24;284.2;157.4;126.8;
2018;EAV-030305-U;De-inking sludges from paper recycling;9;572.6;286.4;256.8;29.5
2018;EAV-030307-U;Mech. separated rejects fr. pulping of waste paper;100;784.1;155.9;605.7;22.5
2018;EAV-030308-U;Wastes from sorting of paper destined for recycl.;11;12.0;0.2;11.8;
2018;EAV-030309-U;Lime mud waste;4;2.3;0.2;2.1;
2018;EAV-030310-U;Fibre rejects, fibre-, filler-, coating-sludges;73;1285.5;421.6;859.1;4.8
2018;EAV-030311-U;Sludges from on-site effluent treatment(ex.030310);33;135.9;38.8;97.1;
2018;EAV-030399-U;Pulp, paper, cardboard production: Wastes n.o.s.;16;941.3;918.1;22.7;0.5
2018;EAV-040101-U;Fleshings and lime split wastes;3;2.4;0.0;2.4;
2018;EAV-040106-U;Sludges from on-site effl. treatm. cont. chromium;9;101.3;82.1;19.1;
2018;EAV-040107-U;Sludges fr. on-site effl. treatm. free of chromium;4;2.4;;2.4;
2018;EAV-040108-U;Waste tanned leather containing chromium;12;5.2;0.4;3.9;0.9
2018;EAV-040109-U;Wastes from dressing and finishing;3;2.4;;0.3;2.1
2018;EAV-040199-U;Leather and fur industry: Wastes n.o.s.;5;0.2;;0.2;
2018;EAV-040209-U;Wastes from composite materials (elastomer etc.);36;31.7;0.1;25.1;6.5
2018;EAV-040210-U;Organic matter from natural products (grease, wax);5;2.1;;2.1;
2018;EAV-040214-G;Wastes from finishing containing organic solvents;3;0.5;0.0;0.1;0.4
2018;EAV-040215-U;Wastes from finishing (except 040214);12;0.7;0.1;0.6;
2018;EAV-040216-G;Dyestuffs and pigments cont. hazardous substances;3;0.1;;0.0;0.0
2018;EAV-040217-U;Dyestuffs and pigments (except 040216);4;0.2;;0.2;
2018;EAV-040220-U;Sludges from on-site effluent treatm. (ex. 040219);15;1.5;0.1;1.4;
2018;EAV-040221-U;Wastes from unprocessed textile fibres;18;17.1;1.9;3.4;11.8
2018;EAV-040222-U;Wastes from processed textile fibres;64;35.6;0.9;33.7;1.1
2018;EAV-040299-U;Textile industry: Wastes n.o.s.;5;0.1;;0.1;
2018;EAV-050103-G;Petroleum refining: Tank bottom sludges;26;13.3;3.7;8.7;1.0
2018;EAV-050106-G;Petroleum ref.: Oily sludges from maint. operat.;25;13.7;1.4;12.2;
2018;EAV-050108-G;Petroleum refining: Other tars;4;0.4;;0.4;
2018;EAV-050109-G;Petroleum ref.: Sludges from on-site effl. treatm.;12;11.9;6.6;5.0;0.3
2018;EAV-050115-G;Petroleum refining: Spent filter clays;5;0.7;;0.7;
2018;EAV-050116-U;Petroleum refining: Sulphur-containing wastes;6;0.5;;0.5;
2018;EAV-050117-U;Petroleum refining: Bitumen;4;0.1;;0.1;
2018;EAV-050603-G;Pyrolytic treatment of coal: Other tars;18;3.4;0.0;3.3;
2018;EAV-050699-U;Pyrolytic treatment of coal: Wastes n.o.s.;3;0.0;;0.0;
2018;EAV-050701-G;Natural gas purif.: Wastes containing mercury;6;0.9;;0.2;0.7
2018;EAV-050702-U;Natural gas purif.: Wastes containing sulphur;8;0.5;0.0;0.5;0.0
2018;EAV-060101-G;Sulphuric acid and sulphurous acid;43;223.9;43.8;126.1;54.0
2018;EAV-060102-G;Hydrochloric acid;19;7.9;;7.9;
2018;EAV-060103-G;Hydrofluoric acid;5;2.0;1.9;0.1;
2018;EAV-060104-G;Phosphoric and phosphorous acid;22;1.6;0.0;1.5;0.1
2018;EAV-060105-G;Nitric acid and nitrous acid;22;1.2;0.0;1.2;
2018;EAV-060106-G;Other acids;51;13.0;0.3;12.4;0.2
2018;EAV-060201-G;Calcium hydroxide;9;1.2;;1.1;0.1
2018;EAV-060203-G;Ammonium hydroxide;16;1.1;0.0;1.0;0.0
2018;EAV-060204-G;Sodium and potassium hydroxide;30;11.0;0.0;10.5;0.5
2018;EAV-060205-G;Other bases;54;15.6;0.2;13.3;2.1
2018;EAV-060299-U;Bases: Wastes n.o.s.;4;0.2;;0.2;
2018;EAV-060311-G;Solid salts and solutions containing cyanides;10;0.5;;0.5;0.0
2018;EAV-060313-G;Solid salts and solutions containing heavy metals;54;16.8;8.9;7.4;0.5
2018;EAV-060314-U;Solid salts and solutions (except 060311, 060313);69;225.6;3.9;214.8;7.0
2018;EAV-060315-G;Metallicoxides containing heavy metals;26;4.0;0.4;3.4;0.2
2018;EAV-060316-U;Metallicoxides (except 060315);41;60.8;3.6;57.2;0.0
2018;EAV-060399-U;Salts a. solutions, metallic oxides: Wastes n.o.s.;7;0.7;;0.7;0.0
2018;EAV-060403-G;Wastes containing arsenic;9;1.0;0.0;0.6;0.4
2018;EAV-060404-G;Wastes containing mercury;30;3.3;0.0;2.4;0.8
2018;EAV-060405-G;Wastes containing other heavy metals;35;61.4;0.2;60.1;1.0
2018;EAV-060502-G;Sludges from on-site effluent treatment;49;59.0;1.9;44.4;12.7
2018;EAV-060503-U;Sludges from on-site effluent treatment(ex.060502);66;107.4;16.5;90.8;0.1
2018;EAV-060602-G;Wastes containing hazardous sulphides;8;1.3;0.6;0.8;0.0
2018;EAV-060702-G;Activated carbon from chlorine production;3;0.3;;0.3;
2018;EAV-060799-U;Halogens: Wastes n.o.s.;4;1.2;1.2;0.1;
2018;EAV-060802-G;Waste containing hazardous chlorosilanes;5;11.7;10.8;0.7;0.2
2018;EAV-060899-U;Silicon and silicon derivatives: Wastes n.o.s.;21;13.8;0.3;13.3;0.3
2018;EAV-060904-U;Calcium-based reaction wastes (except 060903);3;0.1;;0.0;0.0
2018;EAV-061002-G;Nitrogen chemicals: Wastes cont. hazardous subst.;5;0.3;0.2;0.0;
2018;EAV-061101-U;Calcium-based reaction wastes fr. titanium dioxide;6;28.0;;28.0;
2018;EAV-061199-U;Inorganic pigments and opacificiers: Wastes n.o.s.;5;2.9;;2.9;
2018;EAV-061301-G;Inorganic plant protection products etc.;11;0.1;0.0;0.1;
2018;EAV-061302-G;Spent activated carbon (except 060702);33;3.5;0.1;3.0;0.4
2018;EAV-061303-U;Carbon black;17;4.6;;4.4;0.2
2018;EAV-061304-G;Wastes from asbestos processing;4;1.0;;1.0;
2018;EAV-061399-U;Inorganic chemical processes: Wastes n.o.s.;5;0.1;0.1;0.0;
2018;EAV-070101-G;Organic chem.: Aqueous washing liquids,mother liq.;63;78.8;32.7;43.2;2.8
2018;EAV-070103-G;Organic chem.: Organic halogenated solvents etc.;38;50.7;29.6;20.2;1.0
2018;EAV-070104-G;Organic chem.: Other organic solvents etc.;84;215.6;109.7;103.2;2.6
2018;EAV-070107-G;Organic chem.: Halogenated still bottoms etc.;27;73.3;20.2;42.4;10.7
2018;EAV-070108-G;Organic chem.: Other still bottoms,reaction resid.;68;147.8;50.3;79.0;18.5
2018;EAV-070109-G;Organic chem.: Halogenated filter cakes,spent abs.;13;0.8;0.0;0.6;0.1
2018;EAV-070110-G;Organic chem.: Other filter cakes,spent absorbents;26;3.1;0.1;2.9;0.1
2018;EAV-070111-G;Organic chem.: Sludges from on-site effl. treatm.;23;29.5;17.5;3.0;9.0
2018;EAV-070112-U;Sludges from on-site effl. treatm. (except 070111);19;11.1;0.1;11.0;
2018;EAV-070199-U;Organic chemicals: Wastes n.o.s.;37;15.3;0.1;14.4;0.8
2018;EAV-070201-G;Plastics: Aqueous washing liquids, mother liquors;47;22.2;1.5;20.0;0.7
2018;EAV-070203-G;Plastics: Organic halogenated solvents etc.;26;3.3;0.5;2.8;
2018;EAV-070204-G;Plastics: Other organic solvents,washing liq. etc.;56;32.6;6.9;23.2;2.5
2018;EAV-070207-G;Plastics: Halogenated still bottoms, react. resid.;22;5.6;1.7;3.1;0.8
2018;EAV-070208-G;Plastics: Other still bottoms, reaction residues;76;94.8;26.0;68.0;0.8
2018;EAV-070209-G;Plastics: Halogenated filter cakes, spent absorb.;5;0.2;0.0;0.2;
2018;EAV-070210-G;Plastics: Other filter cakes and spent absorbents;27;7.1;1.3;5.8;
2018;EAV-070211-G;Plastics: Sludges from on-site effluent treatment;10;1.1;0.1;1.1;
2018;EAV-070212-U;Sludges from on-site effluent treatment(ex.070211);34;16.8;3.3;13.5;0.0
2018;EAV-070213-U;Waste plastic;267;388.6;6.0;359.0;23.6
2018;EAV-070214-G;Plastics: Wastes from additives cont. haza. subst.;19;1.4;0.4;1.0;0.1
2018;EAV-070215-U;Wastes from additives (except 070214);20;0.7;0.2;0.5;
2018;EAV-070216-G;Plastics: Waste containing hazardous silicones;7;0.9;0.6;0.3;
2018;EAV-070217-U;Waste containing silicones (except 070216);6;0.5;0.2;0.4;
2018;EAV-070299-U;Plastics, synthetic rubber, fibres: Wastes n.o.s.;56;41.7;0.3;34.5;6.9
2018;EAV-070301-G;Organic dyes: Aqueous washing liquids, mother liq.;18;4.1;0.1;2.8;1.2
2018;EAV-070303-G;Organic dyes: Organic halogenated solvents etc.;15;0.7;;0.7;
2018;EAV-070304-G;Organic dyes: Other organic solvents etc.;45;29.3;0.5;27.6;1.2
2018;EAV-070307-G;Organic dyes: Halogenated still bottoms etc.;11;1.4;1.0;0.4;
2018;EAV-070308-G;Organic dyes: Other still bottoms, reaction resid.;15;6.1;0.0;6.1;
2018;EAV-070309-G;Organic dyes: Halogenated filter cakes, spent abs.;5;0.2;0.1;0.1;
2018;EAV-070310-G;Organic dyes: Other filter cakes, spent absorbents;6;0.4;0.0;0.3;
2018;EAV-070312-U;Sludges from on-site effluent treatment(ex.070311);4;0.1;0.0;0.1;
2018;EAV-070399-U;Organic dyes and pigments: Wastes n.o.s.;5;0.3;;0.3;0.0
2018;EAV-070401-G;Org.plant prot.: Aqueous washing liquids etc.;24;31.2;15.8;13.3;2.0
2018;EAV-070403-G;Org.plant prot.: Organic halogenated solvents etc.;22;86.5;49.9;35.8;0.8
2018;EAV-070404-G;Org.plant prot.: Other organic solvents etc.;21;35.3;8.5;26.3;0.5
2018;EAV-070407-G;Org.plant prot.: Halogenated still bottoms etc.;13;32.7;15.9;16.8;
2018;EAV-070408-G;Org.plant prot.: Other still bottoms, react.resid.;11;6.5;2.7;3.8;0.0
2018;EAV-070409-G;Org.plant prot.: Halogenated filter cakes etc.;7;0.3;0.2;0.1;
2018;EAV-070410-G;Org.plant prot.: Other filter cakes, spent absorb.;6;0.3;0.1;0.2;
2018;EAV-070411-G;Org.plant prot.: Sludges from on-site effl.treatm.;7;0.4;0.3;0.1;
2018;EAV-070413-G;Org.plant prot.: Solid wastes cont. haza. subst.;12;1.3;0.6;0.6;0.1
2018;EAV-070499-U;Organic plant protection etc: Wastes n.o.s.;5;3.5;0.0;0.1;3.4
2018;EAV-070501-G;Pharmaceuticals: Aqueous washing liquids etc.;32;33.0;9.4;21.0;2.6
2018;EAV-070503-G;Pharmaceuticals: Organic halogenated solvents etc.;25;31.9;20.8;6.7;4.4
2018;EAV-070504-G;Pharmaceuticals: Other organic solvents etc.;35;72.8;15.6;53.8;3.4
2018;EAV-070507-G;Pharmaceuticals: Halogenated still bottoms etc.;11;1.5;0.2;1.2;0.1
2018;EAV-070508-G;Pharmaceuticals: Other still bottoms, react.resid.;20;4.6;0.0;4.5;0.1
2018;EAV-070509-G;Pharmaceuticals: Halogenated filter cakes etc.;9;0.5;0.2;0.1;0.2
2018;EAV-070510-G;Pharmaceuticals: Other filter cakes, spent absorb.;16;2.0;0.1;1.8;0.1
2018;EAV-070511-G;Pharmaceuticals: Sludges from on-site effl.treatm.;6;0.5;;0.4;0.0
2018;EAV-070513-G;Pharmaceuticals: Solid wastes cont.haza.substances;16;2.3;;1.3;1.0
2018;EAV-070514-U;Solid wastes (except 070513);29;14.6;1.3;13.3;0.0
2018;EAV-070599-U;Pharmaceuticals: Wastes n.o.s.;43;20.8;6.5;14.1;0.2
2018;EAV-070601-G;Fats,soaps: Aqueous washing liquids,mother liquors;49;24.5;0.3;23.4;0.8
2018;EAV-070603-G;Fats,soaps: Organic halogenated solvents etc.;14;0.5;;0.5;
2018;EAV-070604-G;Fats,soaps: Other organic solvents etc.;41;7.6;1.2;6.3;0.1
2018;EAV-070607-G;Fats,soaps: Halogenated still bottoms,react.resid.;5;0.1;;0.1;
2018;EAV-070608-G;Fats,soaps: Other still bottoms, reaction residues;45;42.6;2.0;40.6;0.1
2018;EAV-070610-G;Fats,soaps: Other filter cakes, spent absorbents;19;2.6;0.0;2.6;
2018;EAV-070611-G;Fats,soaps: Sludges from on-site effluent treatm.;7;1.2;;1.2;
2018;EAV-070612-U;Sludges from on-site effluent treatment(ex.070611);28;24.3;0.0;24.3;
2018;EAV-070699-U;Fats, soaps, grease, detergents etc: Wastes n.o.s.;71;28.9;0.0;28.6;0.3
2018;EAV-070701-G;Fine chem.: Aqueous washing liquids,mother liquors;51;75.9;19.9;54.4;1.6
2018;EAV-070703-G;Fine chem.: Organic halogenated solvents etc.;30;26.7;10.7;15.8;0.2
2018;EAV-070704-G;Fine chem.: Other organic solvents etc.;46;48.4;9.4;38.2;0.8
2018;EAV-070707-G;Fine chem.: Halogenated still bottoms,react.resid.;20;17.1;4.9;12.2;0.1
2018;EAV-070708-G;Fine chem.: Other still bottoms, reaction residues;37;102.7;71.3;30.0;1.4
2018;EAV-070709-G;Fine chem.: Halogenated filter cakes,spent absorb.;14;0.9;0.0;0.8;
2018;EAV-070710-G;Fine chem.: Other filter cakes, spent absorbents;25;3.9;0.6;3.4;
2018;EAV-070711-G;Fine chem.: Sludges from on-site effluent treatm.;13;2.3;0.5;1.8;
2018;EAV-070712-U;Sludges from on-site effluent treatment(ex.070711);10;1.1;0.2;0.9;
2018;EAV-070799-U;Fine chemicals: Wastes n.o.s.;10;1.5;0.0;1.5;
2018;EAV-080111-G;Waste paint, varnish containing organic solvents;78;48.8;3.7;37.7;7.4
2018;EAV-080112-U;Waste paint and varnish (except 080111);116;31.3;0.0;30.7;0.6
2018;EAV-080113-G;Sludges from paint and varnish cont. org. solvents;52;26.1;6.4;19.3;0.4
2018;EAV-080114-U;Sludges from paint and varnish (except 080113);18;4.8;;4.8;
2018;EAV-080115-G;Paint,varnish: Aqueous sludges cont. paint etc.;36;16.3;3.9;12.4;
2018;EAV-080116-U;Aqueous sludges cont. paint or varnish (ex.080115);68;40.4;0.7;39.7;
2018;EAV-080117-G;Wastes from paint or varnish removal cont.org.sol.;57;20.0;0.1;19.7;0.2
2018;EAV-080118-U;Wastes from paint or varnish removal (ex. 080117);24;3.8;;3.8;
2018;EAV-080119-G;Aqueous suspensions cont. paint or varnish;24;15.5;0.0;15.5;0.0
2018;EAV-080120-U;Aqueous suspensions cont. paint,varnish(ex.080119);45;13.4;0.3;13.2;
